"","p","s","d","v","el","vp","klast"
"1",0.55,24,46,0,46,0.901807519,0
"2",0.55,26,46,1,46,1.060724674,0
"3",0.55,27,46,0,46,0.765213376,0
"4",0.55,23,46,0,46,0.935854715,0
"5",0.55,26,46,0,46,0.865241244,0
"6",0.55,26,46,0,46,0.941611798,0
"7",0.55,22,46,0,46,0.863938432,0
"8",0.55,20,46,1,46,1.030094483,0
"9",0.55,22,46,1,46,1.162572275,0
"10",0.55,20,46,1,46,1.031721594,0
"11",0.55,26,51,0,46,0.886730459,0
"12",0.55,27,51,1,46,1.168340002,0
"13",0.55,30,51,0,46,0.79370507,0
"14",0.55,27,51,0,46,0.886832339,0
"15",0.55,31,51,1,46,1.06169775,0
"16",0.55,23,51,0,46,0.936956514,0
"17",0.55,19,51,0,46,0.995710128,0
"18",0.55,15,51,0,46,0.991478503,0
"19",0.55,25,51,1,46,1.20059499,0
"20",0.55,23,51,1,46,1.095806224,0
"21",0.55,31,56,0,46,0.975169,0
"22",0.55,31,56,0,46,0.976000096,0
"23",0.55,33,56,0,46,0.82814092,0
"24",0.55,34,56,0,46,0.739336944,0
"25",0.55,32,56,1,46,1.007593639,0
"26",0.55,32,56,1,46,1.150707921,0
"27",0.55,29,56,0,46,0.910204729,0
"28",0.55,27,56,1,46,1.081157265,0
"29",0.55,30,56,0,46,0.210200815,0
"30",0.55,24,56,1,46,1.197468582,0
"31",0.55,32,61,0,46,0.97614061,0
"32",0.55,31,61,1,46,1.012453372,0
"33",0.55,31,61,0,46,0.836543458,0
"34",0.55,28,61,0,46,0.875793787,0
"35",0.55,28,61,0,46,0.887288442,0
"36",0.55,28,61,0,46,0.882142037,0
"37",0.55,29,61,0,46,0.89776833,0
"38",0.55,14,61,1,46,1.058405254,0
"39",0.55,25,61,1,46,1.062737733,0
"40",0.55,26,61,1,46,1.152365742,0
"41",0.55,31,66,1,46,1.094558649,0
"42",0.55,32,66,0,46,0.811221415,0
"43",0.55,32,66,0,46,0.928494857,0
"44",0.55,29,66,0,46,0.860239111,0
"45",0.55,33,66,0,46,0.823168518,0
"46",0.55,32,66,0,46,0.839811764,0
"47",0.55,29,66,0,46,0.850656645,0
"48",0.55,29,66,0,46,0.992080961,0
"49",0.55,29,66,1,46,1.013255904,0
"50",0.55,27,66,1,46,1.210328779,0
"51",0.55,30,71,0,46,0.98906031,0
"52",0.55,27,71,0,46,0.80179195,0
"53",0.55,27,71,1,46,1.014489916,0
"54",0.55,31,71,1,46,1.023700916,0
"55",0.55,31,71,1,46,1.006773779,0
"56",0.55,28,71,0,46,0.914160096,0
"57",0.55,26,71,0,46,0.900934794,0
"58",0.55,25,71,0,46,0.770774254,0
"59",0.55,26,71,1,46,1.216518862,0
"60",0.55,30,71,1,46,1.038745173,0
"61",0.55,29,76,1,46,1.070651278,0
"62",0.55,30,76,0,46,0.956756902,0
"63",0.55,29,76,0,46,0.829255797,0
"64",0.55,29,76,0,46,0.808257416,0
"65",0.55,29,76,1,46,1.141452331,0
"66",0.55,26,76,0,46,0.946765902,0
"67",0.55,25,76,0,46,0.872646807,0
"68",0.55,30,76,0,46,0.973051273,0
"69",0.55,27,76,1,46,1.456164765,0
"70",0.55,30,76,0,46,0.891964865,0
"71",0.55,29,81,1,46,1.017799322,0
"72",0.55,30,81,0,46,0.954424164,0
"73",0.55,28,81,0,46,0.876313886,0
"74",0.55,28,81,0,46,0.93004273,0
"75",0.55,29,81,1,46,1.120505402,0
"76",0.55,29,81,0,46,0.876805416,0
"77",0.55,28,81,0,46,0.979548844,0
"78",0.55,28,81,1,46,1.067995722,0
"79",0.55,26,81,1,46,1.207367949,0
"80",0.55,28,81,1,46,1.232394021,0
"81",0.55,27,86,0,46,0.905363174,0
"82",0.55,27,86,1,46,1.029595551,0
"83",0.55,28,86,0,46,1.000021004,0
"84",0.55,26,86,0,46,0.988400318,0
"85",0.55,26,86,1,46,1.016176661,0
"86",0.55,26,86,1,46,1.032803901,0
"87",0.55,23,86,1,46,1.128258718,0
"88",0.55,24,86,0,46,0.986435658,0
"89",0.55,26,86,1,46,1.421229326,0
"90",0.55,25,86,1,46,1.278755652,0
"91",0.55,28,91,0,46,0.98053614,0
"92",0.55,26,91,1,46,1.085506114,0
"93",0.55,27,91,0,46,0.84297484,0
"94",0.55,26,91,0,46,0.989824062,0
"95",0.55,26,91,1,46,1.044731616,0
"96",0.55,25,91,0,46,0.998826396,0
"97",0.55,23,91,1,46,1.080892779,0
"98",0.55,24,91,1,46,1.116759357,0
"99",0.55,22,91,1,46,1.103247518,0
"100",0.55,24,91,0,46,0.972122814,0
"101",0.55,26,96,1,46,1.059499842,0
"102",0.55,25,96,1,46,1.112240347,0
"103",0.55,26,96,0,46,0.998634031,0
"104",0.55,26,96,1,46,1.010020356,0
"105",0.55,25,96,0,46,0.999537868,0
"106",0.55,25,96,1,46,1.026935545,0
"107",0.55,24,96,1,46,1.032034199,0
"108",0.55,24,96,1,46,1.062177229,0
"109",0.55,24,96,1,46,1.181849336,0
"110",0.55,24,96,0,46,0.933751713,0
"111",0.55,24,101,1,46,1.075268729,0
"112",0.55,26,101,1,46,1.007293704,0
"113",0.55,27,101,0,46,0.95404939,0
"114",0.55,27,101,1,46,1.010583617,0
"115",0.55,24,101,1,46,1.031395672,0
"116",0.55,24,101,0,46,0.995208507,0
"117",0.55,24,101,1,46,1.038761489,0
"118",0.55,24,101,1,46,1.132866284,0
"119",0.55,24,101,1,46,1.133541508,0
"120",0.55,24,101,0,46,0.943349064,0
"121",0.55,25,106,1,46,1.027447107,0
"122",0.55,25,106,0,46,0.977031106,0
"123",0.55,26,106,1,46,1.03158922,0
"124",0.55,24,106,1,46,1.015967345,0
"125",0.55,23,106,1,46,1.062770599,0
"126",0.55,22,106,0,46,0.972269063,0
"127",0.55,23,106,1,46,1.022459426,0
"128",0.55,22,106,1,46,1.05941113,0
"129",0.55,23,106,1,46,1.134283799,0
"130",0.55,23,106,0,46,0.858410576,0
"131",0.55,22,111,0,46,0.974365013,0
"132",0.55,25,111,0,46,0.95365675,0
"133",0.55,23,111,1,46,1.013805577,0
"134",0.55,22,111,1,46,1.03505684,0
"135",0.55,24,111,1,46,1.041665944,0
"136",0.55,23,111,1,46,1.064235272,0
"137",0.55,22,111,0,46,1.001621735,0
"138",0.55,22,111,1,46,1.071336451,0
"139",0.55,22,111,1,46,1.141604679,0
"140",0.55,22,111,0,46,0.987034046,0
"141",0.55,24,116,0,46,0.979208412,0
"142",0.55,20,116,0,46,0.978163911,0
"143",0.55,19,116,1,46,1.019675547,0
"144",0.55,18,116,0,46,0.974835276,0
"145",0.55,21,116,1,46,1.124091589,0
"146",0.55,22,116,1,46,1.026708495,0
"147",0.55,21,116,1,46,1.065599678,0
"148",0.55,21,116,1,46,1.086872604,0
"149",0.55,22,116,1,46,1.127000803,0
"150",0.55,20,116,0,46,0.956482685,0
"151",0.55,20,121,0,46,0.975498725,0
"152",0.55,19,121,0,46,0.987803158,0
"153",0.55,20,121,0,46,0.959781242,0
"154",0.55,19,121,0,46,1.003940722,0
"155",0.55,21,121,1,46,1.07913049,0
"156",0.55,20,121,1,46,1.135756192,0
"157",0.55,19,121,1,46,1.028623917,0
"158",0.55,20,121,1,46,1.043787397,0
"159",0.55,21,121,1,46,1.059289601,0
"160",0.55,20,121,0,46,0.960779297,0
"161",0.55,17,126,1,46,1.038893704,0
"162",0.55,19,126,0,46,1.002212781,0
