"","mean_s","d","el","mean_p","d_el","d2","el2","d_el_div","log_d","log_el","sqrt_d","sqrt_el","class"
"1",7,46,121,0.55,5566,2116,14641,0.380165289256198,3.8286413964891,4.79579054559674,6.78232998312527,11,1
"2",6,46,241,0.51,11086,2116,58081,0.190871369294606,3.8286413964891,5.48479693349065,6.78232998312527,15.52417469626,0
"3",7.5,51,106,0.55,5406,2601,11236,0.481132075471698,3.93182563272433,4.66343909411207,7.14142842854285,10.295630140987,1
"4",6,51,241,0.53,12291,2601,58081,0.211618257261411,3.93182563272433,5.48479693349065,7.14142842854285,15.52417469626,0
"5",6,51,421,0.34,21471,2601,177241,0.121140142517815,3.93182563272433,6.04263283368238,7.14142842854285,20.5182845286832,1
"6",8.4,56,121,0.55,6776,3136,14641,0.462809917355372,4.02535169073515,4.79579054559674,7.48331477354788,11,1
"7",6,56,241,0.54,13496,3136,58081,0.232365145228216,4.02535169073515,5.48479693349065,7.48331477354788,15.52417469626,0
"8",6,56,256,0.52,14336,3136,65536,0.21875,4.02535169073515,5.54517744447956,7.48331477354788,16,0
"9",6,61,256,0.52,15616,3721,65536,0.23828125,4.11087386417331,5.54517744447956,7.81024967590665,16,1
"10",6,66,256,0.52,16896,4356,65536,0.2578125,4.18965474202643,5.54517744447956,8.12403840463596,16,1
"11",7.5,71,166,0.55,11786,5041,27556,0.427710843373494,4.26267987704132,5.11198778835654,8.42614977317636,12.8840987267251,0
"12",6,71,421,0.32,29891,5041,177241,0.168646080760095,4.26267987704132,6.04263283368238,8.42614977317636,20.5182845286832,0
"13",8.8,76,106,0.55,8056,5776,11236,0.716981132075472,4.33073334028633,4.66343909411207,8.71779788708135,10.295630140987,0
"14",9,76,121,0.55,9196,5776,14641,0.628099173553719,4.33073334028633,4.79579054559674,8.71779788708135,11,0
"15",6.7,76,151,0.55,11476,5776,22801,0.503311258278146,4.33073334028633,5.01727983681492,8.71779788708135,12.2882057274445,0
"16",6,76,211,0.55,16036,5776,44521,0.360189573459716,4.33073334028633,5.35185813347607,8.71779788708135,14.5258390463339,1
"17",6,76,226,0.55,17176,5776,51076,0.336283185840708,4.33073334028633,5.42053499927229,8.71779788708135,15.0332963783729,0
"18",6,76,241,0.55,18316,5776,58081,0.315352697095436,4.33073334028633,5.48479693349065,8.71779788708135,15.52417469626,0
"19",8.7,81,121,0.55,9801,6561,14641,0.669421487603306,4.39444915467244,4.79579054559674,9,11,0
"20",6,81,196,0.55,15876,6561,38416,0.413265306122449,4.39444915467244,5.27811465923052,9,14,0
"21",6,81,241,0.55,19521,6561,58081,0.336099585062241,4.39444915467244,5.48479693349065,9,15.52417469626,1
"22",7.9,91,121,0.55,11011,8281,14641,0.752066115702479,4.51085950651685,4.79579054559674,9.53939201416946,11,0
"23",6.5,91,136,0.55,12376,8281,18496,0.669117647058823,4.51085950651685,4.91265488573605,9.53939201416946,11.6619037896906,0
"24",8.3,91,151,0.55,13741,8281,22801,0.602649006622517,4.51085950651685,5.01727983681492,9.53939201416946,12.2882057274445,0
"25",6.4,91,181,0.55,16471,8281,32761,0.502762430939227,4.51085950651685,5.19849703126583,9.53939201416946,13.4536240470737,0
"26",6,91,196,0.55,17836,8281,38416,0.464285714285714,4.51085950651685,5.27811465923052,9.53939201416946,14,0
"27",6,91,211,0.55,19201,8281,44521,0.431279620853081,4.51085950651685,5.35185813347607,9.53939201416946,14.5258390463339,0
"28",6,91,241,0.54,21931,8281,58081,0.377593360995851,4.51085950651685,5.48479693349065,9.53939201416946,15.52417469626,0
"29",6,91,286,0.33,26026,8281,81796,0.318181818181818,4.51085950651685,5.65599181081985,9.53939201416946,16.9115345252878,0
"30",7.1,96,166,0.55,15936,9216,27556,0.578313253012048,4.56434819146784,5.11198778835654,9.79795897113271,12.8840987267251,0
"31",6,96,211,0.55,20256,9216,44521,0.454976303317536,4.56434819146784,5.35185813347607,9.79795897113271,14.5258390463339,0
"32",8,101,121,0.55,12221,10201,14641,0.834710743801653,4.61512051684126,4.79579054559674,10.0498756211209,11,0
"33",6,101,196,0.55,19796,10201,38416,0.51530612244898,4.61512051684126,5.27811465923052,10.0498756211209,14,0
"34",8.3,106,121,0.55,12826,11236,14641,0.87603305785124,4.66343909411207,4.79579054559674,10.295630140987,11,0
"35",9.1,111,121,0.55,13431,12321,14641,0.917355371900826,4.70953020131233,4.79579054559674,10.5356537528527,11,0
"36",6,111,196,0.55,21756,12321,38416,0.566326530612245,4.70953020131233,5.27811465923052,10.5356537528527,14,1
"37",6,116,226,0.55,26216,13456,51076,0.513274336283186,4.75359019110636,5.42053499927229,10.770329614269,15.0332963783729,0
"38",6,131,226,0.55,29606,17161,51076,0.579646017699115,4.87519732320115,5.42053499927229,11.4455231422596,15.0332963783729,0
"39",8,136,121,0.55,16456,18496,14641,1.12396694214876,4.91265488573605,4.79579054559674,11.6619037896906,11,0
"40",6.7,141,151,0.55,21291,19881,22801,0.933774834437086,4.94875989037817,5.01727983681492,11.8743420870379,12.2882057274445,0
"41",6,146,271,0.39,39566,21316,73441,0.538745387453875,4.98360662170834,5.6021188208797,12.0830459735946,16.4620776331543,0
"42",6,151,271,0.38,40921,22801,73441,0.55719557195572,5.01727983681492,5.6021188208797,12.2882057274445,16.4620776331543,0
"43",6.9,166,181,0.55,30046,27556,32761,0.917127071823204,5.11198778835654,5.19849703126583,12.8840987267251,13.4536240470737,0
"44",6,166,256,0.5,42496,27556,65536,0.6484375,5.11198778835654,5.54517744447956,12.8840987267251,16,0
"45",6.8,171,181,0.55,30951,29241,32761,0.94475138121547,5.14166355650266,5.19849703126583,13.076696830622,13.4536240470737,1
"46",6,171,196,0.55,33516,29241,38416,0.872448979591837,5.14166355650266,5.27811465923052,13.076696830622,14,0
"47",6,171,256,0.5,43776,29241,65536,0.66796875,5.14166355650266,5.54517744447956,13.076696830622,16,0
"48",6.6,176,151,0.55,26576,30976,22801,1.16556291390728,5.17048399503815,5.01727983681492,13.2664991614216,12.2882057274445,0
"49",6,176,196,0.55,34496,30976,38416,0.897959183673469,5.17048399503815,5.27811465923052,13.2664991614216,14,1
"50",6,176,256,0.5,45056,30976,65536,0.6875,5.17048399503815,5.54517744447956,13.2664991614216,16,0
"51",6,181,256,0.49,46336,32761,65536,0.70703125,5.19849703126583,5.54517744447956,13.4536240470737,16,0
"52",6,181,271,0.33,49051,32761,73441,0.66789667896679,5.19849703126583,5.6021188208797,13.4536240470737,16.4620776331543,1
"53",6,186,196,0.55,36456,34596,38416,0.948979591836735,5.2257466737132,5.27811465923052,13.6381816969859,14,1
"54",6,186,241,0.51,44826,34596,58081,0.771784232365145,5.2257466737132,5.48479693349065,13.6381816969859,15.52417469626,0
"55",6,186,256,0.48,47616,34596,65536,0.7265625,5.2257466737132,5.54517744447956,13.6381816969859,16,1
"56",6.3,191,181,0.55,34571,36481,32761,1.05524861878453,5.25227342804663,5.19849703126583,13.8202749610853,13.4536240470737,1
"57",6,191,196,0.55,37436,36481,38416,0.974489795918367,5.25227342804663,5.27811465923052,13.8202749610853,14,1
"58",6,191,241,0.51,46031,36481,58081,0.79253112033195,5.25227342804663,5.48479693349065,13.8202749610853,15.52417469626,0
"59",6,191,256,0.46,48896,36481,65536,0.74609375,5.25227342804663,5.54517744447956,13.8202749610853,16,1
"60",6,196,181,0.55,35476,38416,32761,1.0828729281768,5.27811465923052,5.19849703126583,14,13.4536240470737,1
"61",6,196,196,0.55,38416,38416,38416,1,5.27811465923052,5.27811465923052,14,14,0
"62",6,196,241,0.52,47236,38416,58081,0.813278008298755,5.27811465923052,5.48479693349065,14,15.52417469626,0
"63",6,201,181,0.55,36381,40401,32761,1.11049723756906,5.30330490805908,5.19849703126583,14.1774468787578,13.4536240470737,1
"64",6,201,196,0.55,39396,40401,38416,1.02551020408163,5.30330490805908,5.27811465923052,14.1774468787578,14,1
"65",6,201,241,0.52,48441,40401,58081,0.83402489626556,5.30330490805908,5.48479693349065,14.1774468787578,15.52417469626,0
"66",6,206,196,0.55,40376,42436,38416,1.05102040816327,5.32787616878958,5.27811465923052,14.3527000944073,14,1
"67",6,206,241,0.53,49646,42436,58081,0.854771784232365,5.32787616878958,5.48479693349065,14.3527000944073,15.52417469626,0
"68",6,211,241,0.53,50851,44521,58081,0.87551867219917,5.35185813347607,5.48479693349065,14.5258390463339,15.52417469626,0
"69",6,216,241,0.53,52056,46656,58081,0.896265560165975,5.37527840768417,5.48479693349065,14.6969384566991,15.52417469626,0
"70",6,221,241,0.52,53261,48841,58081,0.91701244813278,5.39816270151775,5.48479693349065,14.8660687473185,15.52417469626,0
"71",6,226,241,0.5,54466,51076,58081,0.937759336099585,5.42053499927229,5.48479693349065,15.0332963783729,15.52417469626,0
"72",6,231,241,0.5,55671,53361,58081,0.95850622406639,5.44241771052179,5.48479693349065,15.1986841535707,15.52417469626,0
"73",6,236,241,0.49,56876,55696,58081,0.979253112033195,5.46383180502561,5.48479693349065,15.3622914957372,15.52417469626,0
"74",6,241,241,0.48,58081,58081,58081,1,5.48479693349065,5.48479693349065,15.52417469626,15.52417469626,0
"75",6,246,226,0.54,55596,60516,51076,1.08849557522124,5.50533153593236,5.42053499927229,15.6843871413581,15.0332963783729,0
"76",6,246,241,0.47,59286,60516,58081,1.0207468879668,5.50533153593236,5.48479693349065,15.6843871413581,15.52417469626,0
"77",6,251,226,0.54,56726,63001,51076,1.11061946902655,5.52545293913178,5.42053499927229,15.8429795177549,15.0332963783729,0
"78",6,251,241,0.46,60491,63001,58081,1.04149377593361,5.52545293913178,5.48479693349065,15.8429795177549,15.52417469626,0
"79",6,256,241,0.45,61696,65536,58081,1.06224066390041,5.54517744447956,5.48479693349065,16,15.52417469626,0
"80",6,261,241,0.44,62901,68121,58081,1.08298755186722,5.56452040732269,5.48479693349065,16.1554944214035,15.52417469626,0
"81",6,266,226,0.54,60116,70756,51076,1.17699115044248,5.5834963087817,5.42053499927229,16.3095064303001,15.0332963783729,0
"82",6,266,241,0.43,64106,70756,58081,1.10373443983402,5.5834963087817,5.48479693349065,16.3095064303001,15.52417469626,0
"83",6,271,241,0.42,65311,73441,58081,1.12448132780083,5.6021188208797,5.48479693349065,16.4620776331543,15.52417469626,0
"84",6.8,276,121,0.55,33396,76176,14641,2.28099173553719,5.62040086571715,4.79579054559674,16.6132477258361,11,0
"85",6,276,241,0.41,66516,76176,58081,1.14522821576763,5.62040086571715,5.48479693349065,16.6132477258361,15.52417469626,0
"86",6.6,281,121,0.55,34001,78961,14641,2.32231404958678,5.63835466933375,4.79579054559674,16.7630546142402,11,0
"87",6,281,241,0.41,67721,78961,58081,1.16597510373444,5.63835466933375,5.48479693349065,16.7630546142402,15.52417469626,0
"88",6.1,286,106,0.55,30316,81796,11236,2.69811320754717,5.65599181081985,4.66343909411207,16.9115345252878,10.295630140987,0
"89",6,286,241,0.4,68926,81796,58081,1.18672199170124,5.65599181081985,5.48479693349065,16.9115345252878,15.52417469626,0
"90",6,291,226,0.55,65766,84681,51076,1.28761061946903,5.67332326717149,5.42053499927229,17.058722109232,15.0332963783729,0
"91",6,291,241,0.39,70131,84681,58081,1.20746887966805,5.67332326717149,5.48479693349065,17.058722109232,15.52417469626,0
"92",6,296,106,0.55,31376,87616,11236,2.79245283018868,5.69035945432406,4.66343909411207,17.2046505340853,10.295630140987,0
"93",6,296,181,0.55,53576,87616,32761,1.6353591160221,5.69035945432406,5.19849703126583,17.2046505340853,13.4536240470737,0
